205.210.31.102 - - [31/Jan/2025:00:03:15 +0000] "GET / HTTP/1.0" 200 11210
147.185.132.114 - - [31/Jan/2025:00:12:45 +0000] "GET / HTTP/1.1" 200 11230
45.148.10.242 - - [31/Jan/2025:00:18:05 +0000] "GET / HTTP/1.1" 200 11230
198.235.24.221 - - [31/Jan/2025:00:18:49 +0000] "-" 400 1894
198.235.24.221 - - [31/Jan/2025:00:18:49 +0000] "-" 400 1894
95.214.55.185 - - [31/Jan/2025:00:26:08 +0000] "GET / HTTP/1.1" 200 11230
188.13.78.136 - - [31/Jan/2025:00:44:02 +0000] "GET / HTTP/1.0" 200 11210
4.151.38.54 - - [31/Jan/2025:01:23:04 +0000] "-" 400 1894
95.214.55.185 - - [31/Jan/2025:01:24:48 +0000] "GET / HTTP/1.1" 200 11230
59.91.99.163 - - [31/Jan/2025:01:25:53 +0000] "GET / HTTP/1.1" 200 11230
176.113.115.249 - - [31/Jan/2025:01:29:07 +0000] "GET / HTTP/1.1" 200 11230
146.19.24.168 - - [31/Jan/2025:01:31:49 +0000] "GET / HTTP/1.1" 200 11230
195.3.223.55 - - [31/Jan/2025:01:36:53 +0000] "GET / HTTP/1.1" 200 11230
95.214.55.185 - - [31/Jan/2025:01:40:10 +0000] "GET / HTTP/1.1" 200 11230
95.214.55.185 - - [31/Jan/2025:02:38:36 +0000] "GET / HTTP/1.1" 200 11230
162.142.125.121 - - [31/Jan/2025:02:41:05 +0000] "GET / HTTP/1.1" 200 11230
162.142.125.121 - - [31/Jan/2025:02:41:16 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
89.248.173.219 - - [31/Jan/2025:02:48:21 +0000] "GET / HTTP/1.1" 200 11230
146.19.24.168 - - [31/Jan/2025:02:57:50 +0000] "GET / HTTP/1.1" 200 11230
216.9.226.154 - - [31/Jan/2025:02:58:02 +0000] "POST /cgi-bin/ViewLog.asp HTTP/1.1" 404 704
195.3.223.55 - - [31/Jan/2025:03:32:35 +0000] "GET / HTTP/1.1" 200 11230
95.214.55.185 - - [31/Jan/2025:03:38:00 +0000] "GET / HTTP/1.1" 200 11230
87.236.176.11 - - [31/Jan/2025:03:51:11 +0000] "GET / HTTP/1.1" 200 11230
185.247.137.245 - - [31/Jan/2025:03:51:12 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
216.9.226.154 - - [31/Jan/2025:04:04:42 +0000] "POST /cgi-bin/ViewLog.asp HTTP/1.1" 404 704
109.236.61.84 - - [31/Jan/2025:04:30:59 +0000] "-" 400 1894
172.105.246.139 - - [31/Jan/2025:04:35:28 +0000] "GET / HTTP/1.0" 200 11210
172.105.246.139 - - [31/Jan/2025:04:35:28 +0000] "GET / HTTP/1.1" 200 11230
172.105.246.139 - - [31/Jan/2025:04:35:28 +0000] "GET /server-status HTTP/1.1" 404 694
172.105.246.139 - - [31/Jan/2025:04:35:28 +0000] "GET /rest/applinks/1.0/manifest HTTP/1.1" 404 719
172.105.246.139 - - [31/Jan/2025:04:35:28 +0000] "GET /?=PHPE9568F36-D428-11d2-A769-00AA001ACF42 HTTP/1.1" 200 11230
172.105.246.139 - - [31/Jan/2025:04:35:28 +0000] "GET /Portal0000.htm HTTP/1.1" 404 695
172.105.246.139 - - [31/Jan/2025:04:35:28 +0000] "GET / HTTP/1.1" 200 11230
172.105.246.139 - - [31/Jan/2025:04:35:28 +0000] "GET /CSS/Miniweb.css HTTP/1.1" 404 700
172.105.246.139 - - [31/Jan/2025:04:35:28 +0000] "POST /sdk HTTP/1.1" 404 684
172.105.246.139 - - [31/Jan/2025:04:35:28 +0000] "GET /.git/HEAD HTTP/1.1" 404 694
172.105.246.139 - - [31/Jan/2025:04:35:28 +0000] "GET /nmaplowercheck1738298128 HTTP/1.1" 404 705
172.105.246.139 - - [31/Jan/2025:04:35:28 +0000] "GET / HTTP/1.0" 200 11210
172.105.246.139 - - [31/Jan/2025:04:35:28 +0000] "GET /Portal/Portal.mwsl HTTP/1.1" 404 703
172.105.246.139 - - [31/Jan/2025:04:35:28 +0000] "GET /base.cfm HTTP/1.1" 404 689
172.105.246.139 - - [31/Jan/2025:04:35:28 +0000] "GET / HTTP/1.0" 200 11210
172.105.246.139 - - [31/Jan/2025:04:35:29 +0000] "GET /HNAP1 HTTP/1.1" 404 686
172.105.246.139 - - [31/Jan/2025:04:35:29 +0000] "GET /UoWA HTTP/1.1" 404 685
172.105.246.139 - - [31/Jan/2025:04:35:29 +0000] "GET /confluence/rest/applinks/1.0/manifest HTTP/1.1" 404 734
172.105.246.139 - - [31/Jan/2025:04:35:29 +0000] "HEAD / HTTP/1.0" 200 -
172.105.246.139 - - [31/Jan/2025:04:35:29 +0000] "GET /menu.aspx HTTP/1.1" 404 690
172.105.246.139 - - [31/Jan/2025:04:35:29 +0000] "POST /scripts/WPnBr.dll HTTP/1.1" 404 702
172.105.246.139 - - [31/Jan/2025:04:35:29 +0000] "GET /pools/default/buckets HTTP/1.1" 404 710
172.105.246.139 - - [31/Jan/2025:04:35:29 +0000] "-" 400 1894
172.105.246.139 - - [31/Jan/2025:04:35:29 +0000] "GET /?=PHPB8B5F2A0-3C92-11d3-A3A9-4C7B08C10000 HTTP/1.1" 200 11230
172.105.246.139 - - [31/Jan/2025:04:35:29 +0000] "GET / HTTP/1.1" 200 11230
